dammed dam
damming dam
damnified damnify
damselfishes damselfish
dandified dandify
dapped dap
dapping dap
data datum
daughters-in-law daughter-in-law
daymio daimio
daymios daimio
dealfishes dealfish
dealt deal
debarred debar
debarring debar
debugged debug
debugging debug
debussed debus
debusses debus
debussing debus
decalcified decalcify
decemviri decemvir
decennia decennium
deciduae decidua
declassified declassify
decontrolled decontrol
decontrolling decontrol
decried decry
deep-freeze deepfreeze
deep-freezed deepfreeze
deep-freezes deepfreeze
deep-fried deep-fry
deferred defer
deferring defer
defied defy
definienda definiendum
definientia definiens
degassed degas
degasses degas
degassing degas
dehumidified dehumidify
deified deify
delphinia delphinium
demitted demit
demitting demit
demobbed demob
demobbing demob
demulsified demulsify
demurred demur
demurring demur
demystified demystify
denarii denarius
denazified denazify
denied deny
denitrified denitrify
denned den
denning den
dentalia dentalium
dermatoses dermatosis
descried descry
desiderata desideratum
desperadoes desperado
deterred deter
deterring deter
detoxified detoxify
devilfishes devilfish
devilled devil
devilling devil
devitrified devitrify
diaereses diaeresis
diaerses diaeresis
diagnoses diagnosis
diagrammed diagram
diagramming diagram
dialled dial
dialling dial
dialyses dialysis
diaphyses diaphysis
diapophyses diapophysis
diarthroses diarthrosis
diastalses diastalsis
diastases diastasis
diastemata diastema
diathses diathesis
diazoes diazo
dibbed dib
dibbing dib
dibbukkim dibbuk
dichasia dichasium
dicta dictum
did do
didoes dido
diereses dieresis
dieses diesis
differentiae differentia
digging dig
dignified dignify
dilettanti dilettante
dilly-dallied dilly-dally
diluvia diluvium
dimmed dim
dimming dim
dingoes dingo
dinned din
dinning din
diplococci diplococcus
dipped dip
dipping dip
directors-general director-general
dirtied dirty
disannulled disannul
disannulling disannul
disbarred disbar
disbarring disbar
disbudded disbud
disbudding disbud
disci discus
discoboli discobolos discobolus
disembodied disembody
disembowelled disembowel
disembowelling disembowel
disenthralled disenthral disenthrall
disenthralling disenthral disenthrall
disenthralls disenthral
disenthrals disenthrall
dishevelled dishevel
dishevelling dishevel
disinterred disinter
disinterring disinter
dispelled dispel
dispelling dispel
disqualified disqualify
dissatisfied dissatisfy
distilled distil distill
distilling distil distill
dive diva
diversified diversify
diverticula diverticulum
divertimenti divertimento
divvied divvy
dizzied dizzy
djinn djinni djinny
dodoes dodo
dogfishes dogfish
dogged dog
dogging dog
doglegged dogleg
doglegging dogleg
dogmata dogma
dogteeth dogtooth
dollarfishes dollarfish
dollied dolly
domatia domatium
dominoes domino
done do
donned don
donning don
dormice dormouse
dorsa dorsum
dotted dot
dotting dot
dought dow
dove dive
drabbed drab
drabbing drab
drachmae drachma
dragged drag
dragging drag
drank drink
drawknives drawknife
drawn draw
dreamt dream
drew draw
dried dry
dripped drip
dripping drip
drivelled drivel
drivelling drivel
driven drive
dropped drop
dropping drop
drosophilae drosophila
drove drive
drubbed drub
drubbing drub
drugged drug
drugging drug
drumfishes drumfish
drummed drum
drumming drum
drunk drink
dryades dryad
dubbed dub
dubbing dub
duelled duel
duelling duel
dug dig
dui duo
dulcified dulcify
dummied dummy
dunned dun
dunning dun
duona duodenum
duonas duodenum
dupondii dupondius
duumviri duumvir
dwarves dwarf
dwelt dwell
dybbukkim dybbuk
dying die
easied easy
eaten eat
eavesdropped eavesdrop
eavesdropping eavesdrop
ecchymoses ecchymosis
ecclesiae ecclesia
ecdyses ecdysis
echidnae echidna
echini echinus
echinococci echinococcus
echoes echo
ectozoa ectozoan
eddied eddy
eddoes eddo
edemata edema
edified edify
effluvia effluvium
ego-tripped ego-trip
ego-tripping ego-trip
eidola eidolon
eisegeses eisegesis
eisteddfodau eisteddfod
electrified electrify
elenchi elenchus
ellipses ellipsis
eluvia eluvium
elves elf
elytra elytron elytrum
embargoes embargo
embedded embed
embedding embed
embodied embody
emboli embolus
embussed embus
embusses embus
embussing embus
emitted emit
emitting emit
empanelled empanel
empanelling empanel
emphases emphasis
emporia emporium
emptied empty
emulsified emulsify
enamelled enamel
enamelling enamel
enarthroses enarthrosis
encephala encephalon
encephalitides encephalitis
encephalomata encephaloma
enchiridia enchiridion
enchondromata enchondroma
encomia encomium
endamebae endameba
endamoebae endamoeba
endocardia endocardium
endocrania endocranium
